identifier,key_cricinfo,unique_name,name,born,bat_style,bowl_style,field_pos
dbc50253,236694,AP Dole,Aditya Pradip Dole,"October 09, 1987, Pimpri, Maharashtra",Right hand Bat,Right arm Medium fast, 
9a5f2863,1349361,Mohit Rathee,Mohit Rathee,"January 13, 1999, Rohak, Haryana",Right hand Bat,Legbreak, 
ad427b5c,930189,Lalit Yadav,Lalit Yadav,"January 03, 1997, Delhi",Right hand Bat,Right arm Offbreak, 
ddc0828d,12856,A Flintoff,Andrew Flintoff,"December 06, 1977, Preston, Lancashire",Right hand Bat,Right arm Fast medium, 
35205dfc,53118,DR Smith,Dwayne Romel Smith,"April 12, 1983, Storey Gap, Codrington Hill, St Michael, Barbados",Right hand Bat,Right arm Medium, 
9061a703,928067,J Little,Joshua Brian Little,"November 01, 1999, Dublin",Right hand Bat,Left arm Fast medium, 
495d42a5,26421,R Ashwin,Ravichandran Ashwin,"September 17, 1986, Madras (now Chennai), Tamil Nadu",Right hand Bat,Right arm Offbreak, 
a457cfb5,942367,Mayank Dagar,Mayank J Dagar,"November 11, 1996, Delhi",Right hand Bat,Slow Left arm Orthodox, 
3ff033bb,437316,MD Shanaka,Madagamagamage Dasun Shanaka,"September 09, 1991, Negombo",Right hand Bat,Right arm Medium, 
7dc35884,56143,Shakib Al Hasan,Shakib Al Hasan,"March 24, 1987, Magura, Jessore",Left hand Bat,Slow Left arm Orthodox, 
d7b3a420,376102,Jaskaran Singh,Jaskaran Singh Buttar,"September 04, 1989, Mohali, Punjab",Right hand Bat,Right arm Medium, 
0164b064,376169,MG Neser,Michael Gertges Neser,"March 29, 1990, Pretoria, South Africa",Right hand Bat,Right arm Medium fast, 
ef5da05c,26490,AG Murtaza,Ali Ghulam Murtaza,"January 01, 1990, Allahabad, Uttar Pradesh",Left hand Bat,Slow Left arm Orthodox, 
b720a5d6,237701,DB Ravi Teja,Dwaraka Bhamidipati Ravi Teja,"September 05, 1987, Kakinada, Andhra Pradesh",Right hand Bat,Legbreak Googly, 
0a476045,28235,S Dhawan,Shikhar Dhawan,"December 05, 1985, Delhi",Left hand Bat,Right arm Offbreak, 
fef92afc,539548,SC Kuggeleijn,Scott Christopher Kuggeleijn,"January 03, 1992, Hamilton",Right hand Bat,Right arm Fast medium, 
64839cb3,1194795,M Pathirana,Matheesha Pathirana,"December 18, 2002, Kandy",Right hand Bat,Right arm Fast, 
90de905a,424377,K Gowtham,Krishnappa Gowtham,"October 20, 1988, Bangalore, Karnataka",Right hand Bat,Right arm Offbreak, 
f62772e5,530773,P Negi,Pawan Negi,"January 06, 1993, Delhi",Left hand Bat,Slow Left arm Orthodox, 
3355b542,44828,F du Plessis,Francois du Plessis,"July 13, 1984, Pretoria",Right hand Bat,Legbreak, 
266849c1,1350770,R Goyal,Raghav Goyal,"January 26, 2001",Left hand Bat,Left arm Wrist spin, 
a4e37e47,714451,S Dube,Shivam Dube,"June 26, 1993, Mumbai",Left hand Bat,Right arm Medium, 
d67d5f00,321777,DA Miller,David Andrew Miller,"June 10, 1989, Pietermaritzburg, Natal",Left hand Bat,Right arm Offbreak, 
d18f9182,49289,DPMD Jayawardene,Denagamage Proboth Mahela de Silva Jayawardene,"May 27, 1977, Colombo",Right hand Bat,Right arm Medium, 
cdc6bdba,592735,S Sandeep Warrier,Sankarankutty Sandeep Warrier,"April 04, 1991, Thrissur, Kerala",Right hand Bat,Right arm Medium, 
85b3fab2,595978,T Stubbs,Tristan Stubbs,"August 14, 2000",Right hand Bat,Right arm Offbreak,Wicketkeeper
0ed0cdbf,236810,H Das,Halhadar Das,"December 10, 1986, Dhankanal, Orissa",Right hand Bat, ,Wicketkeeper
3c6ffae8,32498,YK Pathan,Yusuf Khan Pathan,"November 17, 1982, Baroda, Gujarat",Right hand Bat,Right arm Offbreak, 
b681e71e,325026,GJ Maxwell,Glenn James Maxwell,"October 14, 1988, Kew, Melbourne, Victoria",Right hand Bat,Right arm Offbreak, 
12314277,1244751,Arshad Khan (2),Mohd Arshad Khan,"December 20, 1997, Gopalganj (Seoni)",Left hand Bat,Left arm Medium, 
73ad96ed,497121,DJ Hooda,Deepak Jagbir Hooda,"April 19, 1995, Rohtak",Right hand Bat,Right arm Offbreak, 
441c72ae,1159712,P Ray Barman,Prayas Ray Barman,"October 25, 2002",Right hand Bat,Legbreak Googly, 
ade90de7,1131619,S Midhun,Sudhesan Midhun,"October 07, 1994, Kayamkulam (Allapuzha District)",Right hand Bat,Legbreak Googly, 
f5180fe6,6033,MG Johnson,Mitchell Guy Johnson,"November 02, 1981, Townsville, Queensland",Left hand Bat,Left arm Fast, 
29d72eb2,337913,AA Chavan,Ankeet Anil Chavan,"October 28, 1985, Bombay (now Mumbai), Maharashtra",Left hand Bat,Slow Left arm Orthodox, 
db31895a,591650,AS Rajpoot,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",Right hand Bat,Right arm Medium, 
bd17b45f,27223,STR Binny,Stuart Terence Roger Binny,"June 03, 1984, Bangalore, Karnataka",Right hand Bat,Right arm Medium, 
3a60e0b5,265564,WD Parnell,Wayne Dillon Parnell,"July 30, 1989, Port Elizabeth, Cape Province",Left hand Bat,Left arm Medium fast, 
1cb14aa4,545467,CJ Dala,Carl Junior Dala,"December 29, 1989, Lusaka, Zambia",Right hand Bat,Right arm Medium, 
297b26da,36130,Yashpal Singh,Yashpal Singh,"November 27, 1981, Delhi",Right hand Bat,Right arm Medium, 
91b9300b,262533,UA Birla,Udit Alok Birla,"November 17, 1989, Calcutta (now Kolkata), Bengal",Right hand Bat,Right arm Medium, 
641ac5ff,559066,IS Sodhi,Inderbir Singh Sodhi,"October 31, 1992, Ludhiana, India",Right hand Bat,Legbreak, 
b8527c3d,1161489,Rasikh Salam,Rasikh Salam Dar,"April 05, 2000",Right hand Bat,Right arm Medium, 
1a156c88,308798,DJM Short,D'Arcy John Matthew Short,"August 09, 1990, Katherine, Northern Territory",Left hand Bat,Left arm Wrist spin, 
12b610c2,530011,TM Head,Travis Michael Head,"December 29, 1993, Adelaide, South Australia",Left hand Bat,Right arm Offbreak,Wicketkeeper
62af8546,25913,Mohammad Nabi,Mohammad Nabi,"January 01, 1985, Loger, Afghanistan",Right hand Bat,Right arm Offbreak, 
85aae393,277237,Iqbal Abdulla,Sayed Iqbal Abdulla,"December 02, 1989, Azamgarh",Left hand Bat,Slow Left arm Orthodox, 
66cf56a5,310958,A Mithun,Abhimanyu Mithun,"October 25, 1989, Bangalore",Right hand Bat,Right arm Medium, 
91ffa6c6,38373,JD Ryder,Jesse Daniel Ryder,"August 06, 1984, Masterton, Wellington",Left hand Bat,Right arm Medium, 
327b58d3,552152,PVD Chameera,Pathira Vasan Dushmantha Chameera,"January 11, 1992, Ragama",Right hand Bat,Right arm Fast, 
94d7f855,55395,C de Grandhomme,Colin de Grandhomme,"July 22, 1986, Harare",Right hand Bat,Right arm Medium fast, 
bb965e9a,1070180,PK Garg,Priyam K Garg,"November 30, 2000, Meerut, Uttar Pradesh",Right hand Bat,Right arm Medium, 
1c914163,36084,Yuvraj Singh,Yuvraj Singh,"December 12, 1981, Chandigarh",Left hand Bat,Slow Left arm Orthodox, 
864c199e,8119,AC Voges,Adam Charles Voges,"October 04, 1979, Subiaco, Perth, Western Australia",Right hand Bat,Slow Left arm Orthodox, 
5fa06777,32685,IK Pathan,Irfan Khan Pathan,"October 27, 1984, Baroda, Gujarat",Left hand Bat,Left arm Medium fast, 
bcf325d2,1175488,Dhruv Jurel,Dhruv Chand Jurel,"January 21, 2001, Agra, Uttar Pradesh",Right hand Bat, , 
6eb146d2,537124,Gurkeerat Singh,Gurkeerat Rupinder Singh,"June 29, 1990, Muktsar, Punjab",Right hand Bat,Right arm Offbreak, 
dd7e9b3b,1292498,YV Dhull,Yash Vijay Dhull,"November 11, 2002, New Delhi",Right hand Bat,Right arm Offbreak, 
4b57e452,237095,M Vijay,Murali Vijay,"April 01, 1984, Chennai",Right hand Bat,Right arm Offbreak, 
e94915e6,662973,SM Curran,Samuel Matthew Curran,"June 03, 1998, Northampton",Left hand Bat,Left arm Medium fast, 
983f2f61,232292,Swapnil Singh,Swapnil Singh,"January 22, 1991, Rae Bareilly, Uttar Pradesh",Right hand Bat,Slow Left arm Orthodox, 
5d096f3d,32391,RR Powar,Ramesh Rajaram Powar,"May 20, 1978, Bombay (now Mumbai), Maharashtra",Right hand Bat,Right arm Offbreak, 
a1f1829d,28997,K Goel,Karan Goel,"December 24, 1986, Ludhiana, Punjab",Left hand Bat,Right arm Offbreak, 
756389bd,35619,S Vidyut,Vidyut Sivaramakrishnan,"December 03, 1981, Madras (now Chennai), Tamil Nadu",Left hand Bat,Slow Left arm Orthodox, 
d8b2f218,537126,BB Sran,Barinder Balbirsingh Sran,"December 10, 1992, Sirsa",Left hand Bat,Left arm Medium, 
f10e94c4,500360,AD Nath,Akshdeep Deependra Nath,"May 10, 1993, Lucknow",Right hand Bat,Right arm Medium fast, 
f708a0bc,5681,GB Hogg,George Bradley Hogg,"February 06, 1971, Narrogin, Western Australia",Left hand Bat,Left arm Wrist spin, 
2be41edb,226492,MJ Guptill,Martin James Guptill,"September 30, 1986, Auckland",Right hand Bat,Right arm Offbreak, 
4c4fa80b,273439,SMSM Senanayake,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,"February 09, 1985, Colombo",Right hand Bat,Right arm Offbreak, 
af2c687b,232359,C Munro,Colin Munro,"March 11, 1987, Durban",Left hand Bat,Right arm Medium fast, 
a12e1d51,49758,SL Malinga,Separamadu Lasith Malinga,"August 28, 1983, Galle",Right hand Bat,Right arm Fast, 
808f425a,270484,JP Faulkner,James Peter Faulkner,"April 29, 1990, Launceston, Tasmania",Right hand Bat,Left arm Fast medium, 
fb66ce1f,439952,CH Morris,Christopher Henry Morris,"April 30, 1987, Pretoria, Transvaal",Right hand Bat,Right arm Fast medium, 
2f9d0389,493773,LH Ferguson,Lachlan Hammond Ferguson,"June 13, 1991, Auckland",Right hand Bat,Right arm Fast, 
cf73ad76,37004,JEC Franklin,James Edward Charles Franklin,"November 07, 1980, Wellington",Left hand Bat,Left arm Medium, 
2815fe50,29702,AA Jhunjhunwala,Abhishek Arunkumar Jhunjhunwala,"December 01, 1982, Calcutta (now Kolkata), Bengal",Right hand Bat,Right arm Offbreak, 
7daedf2f,319745,KB Arun Karthik,Konda Bhaskir Arun Karthik,"February 15, 1986, Walajapet, Tamil Nadu",Right hand Bat,Legbreak Googly,Occasional Wicketkeeper
28c78fb3,340854,Harpreet Singh,Harpreet Singh Bhatia,"August 11, 1991, Durg, Madhya Pradesh",Left hand Bat,Right arm Medium, 
f986ca1a,390481,HV Patel,Harshal Vikram Patel,"November 23, 1990, Sanand, Gujarat",Right hand Bat,Right arm Medium, 
378daa89,1254269,Aman Hakim Khan,Aman Hakim Khan,"November 23, 1996",Right hand Bat,Right arm Medium, 
890de8cb,28758,Gagandeep Singh,Gagandeep Singh,"October 03, 1981, Ludhiana, Punjab",Right hand Bat,Right arm Medium fast, 
7023d182,220435,AN Ghosh,Arindam Nanigopal Ghosh,"October 19, 1986, Barasat, Kolkatta",Right hand Bat,Right arm Medium, 
c15e2193,28671,FY Fazal,Faiz Yakub Fazal,"September 07, 1985, Nagpur, Maharashtra",Left hand Bat,Right arm Medium, 
0a509d6b,723105,RK Singh,Rinku Khanchand Singh,"October 12, 1997, Aligarh, Uttar Pradesh",Left hand Bat,Right arm Offbreak, 
0a3d54b9,360911,VR Aaron,Varun Raymond Aaron,"October 29, 1989, Singhbhum, Bihar (now Jharkhand)",Right hand Bat,Right arm Fast, 
a4cc73aa,425943,SV Samson,Sanju Viswanath Samson,"November 11, 1994, Pulluvila, Vizhinjam, Trivandrum",Right hand Bat, ,Wicketkeeper
7a8bd078,344580,S Gopal,Shreyas Gopal,"September 04, 1993, Banglaore, Karnataka",Right hand Bat,Legbreak, 
5f4e9e8f,290713,RR Raje,Rohan Ravindra Raje,"September 03, 1986, Neral, Maharashtra",Right hand Bat,Right arm Fast medium, 
afa7e784,230193,MS Wade,Matthew Scott Wade,"December 26, 1987, Hobart, Tasmania",Left hand Bat,Right arm Medium,Wicketkeeper
edb3d4f8,777537,KC Cariappa,Konganda Charamanna Cariappa,"April 13, 1994, Bangalore, Karnataka",Right hand Bat,Legbreak, 
90edaaa9,33757,S Rana,Sachin Rana,"September 18, 1984, Gurgaon, Haryana",Right hand Bat,Right arm Medium fast, 
8361e524,379776,SSB Magala,Sisanda Somila Bruce Magala,"January 07, 1991, Port Elizabeth, Cape Province",Right hand Bat,Right arm Fast medium, 
39f82db3,5583,DJ Harris,Daniel Joseph Harris,"December 31, 1979, North Adelaide, South Australia",Right hand Bat,Right arm Medium, 
a76d10ba,35401,TM Srivastava,Tanmay Manoj Srivastava,"November 07, 1989, Kanpur, Uttar Pradesh",Left hand Bat,Right arm Medium, 
f4f0fafd,253798,B Sumanth,Bodapati Apparao Sumanth,"May 10, 1988, Visakhapatnam, Andhra Pradesh",Right hand Bat,Right arm Medium fast, 
372455c4,379143,Q de Kock,Quinton de Kock,"December 17, 1992, Johannesburg, Gauteng",Left hand Bat, ,Wicketkeeper
e32d22f6,32973,Pankaj Singh,Pankaj Singh,"May 06, 1985, Sultanpur, Uttar Pradesh",Right hand Bat,Right arm Medium fast, 
caa89a48,34402,SS Sarkar,Sourav Subrata Sarkar,"December 15, 1984, Calcutta (now Kolkata), Bengal",Right hand Bat,Right arm Medium, 
871e9faf,732291,Basil Thampi,Basil Thampi,"September 11, 1993, Ernakulam, Kerala",Right hand Bat,Right arm Fast medium, 
4ec07775,47660,RN ten Doeschate,Ryan Neil ten Doeschate,"June 30, 1980, Port Elizabeth, Cape Province",Right hand Bat,Right arm Medium fast, 
cfa4bd2b,1121579,Y Prithvi Raj,Prithvi Raj Yarra,"February 20, 1998, Duggirala , Andhra Pradesh",Left hand Bat,Left arm Medium, 
957532de,290632,S Aravind,Sreenath Aravind,"April 08, 1984, Bangalore, Karnataka",Left hand Bat,Left arm Medium fast, 
b483905d,1175458,Akash Singh,Akash Maharaj Singh,"April 26, 2002, Bharatpur, Rajasthan",Right hand Bat,Left arm Medium fast, 
c695b423,1252337,PH Solanki,Prashant Hitesh Solanki,"February 22, 2000",Right hand Bat,Legbreak, 
f663ef00,26291,J Arunkumar,Jagadeesh Arunkumar,"January 18, 1975, Bangalore, Karnataka",Right hand Bat,Right arm Offbreak, 
76388dc8,51433,S Badree,Samuel Badree,"March 09, 1981, Barrackpore, Trinidad",Right hand Bat,Legbreak, 
c4487b84,44936,AB de Villiers,Abraham Benjamin de Villiers,"February 17, 1984, Pretoria",Right hand Bat,Right arm Medium,Wicketkeeper
a9fd84fb,1081442,M Markande,Mayank Markande,"November 11, 1997, Bathinda, Punjab",Right hand Bat,Legbreak, 
afe3355a,327123,AR Bawne,Ankit Ramdas Bawne,"December 17, 1992, Paitha, Aurangabad",Right hand Bat,Right arm Offbreak, 
f9e6e7ef,1159711,Shahbaz Ahmed,Shahbaz Ahmed,"December 11, 1994, Mewat, Haryana",Left hand Bat,Slow Left arm Orthodox, 
2e8994e7,44932,JP Duminy,Jean-Paul Duminy,"April 14, 1984, Strandfontein, Cape Town, Cape Province",Left hand Bat,Right arm Offbreak, 
b2b50355,26829,L Balaji,Lakshmipathy Balaji,"September 27, 1981, Madras (now Chennai), Tamil Nadu",Right hand Bat,Right arm Medium fast, 
45c2196c,4508,DE Bollinger,Douglas Erwin Bollinger,"July 24, 1981, Baulkham Hills, Sydney, New South Wales",Left hand Bat,Left arm Fast medium, 
19b9f399,787073,CJ Green,Christopher James Green,"October 01, 1993, Durban, Natal, South Africa",Right hand Bat,Right arm Offbreak, 
de4b0555,390547,R Shukla,Rahul Shukla,"August 28, 1990, Jharkhand",Right hand Bat,Right arm Medium, 
2049f3a0,34245,SJ Srivastava,Shalabh Jagdishprasad Srivastava,"September 22, 1981, Allahabad, Uttar Pradesh",Right hand Bat,Left arm Fast medium, 
df064e1a,1175441,Ravi Bishnoi,Ravi Bishnoi,"September 05, 2000, Jodhpur, Rajasthan",Right hand Bat,Legbreak Googly, 
3576e47e,26806,S Badrinath,Subramaniam Badrinath,"August 30, 1980, Madras (now Chennai), Tamil Nadu",Right hand Bat,Right arm Offbreak, 
d5130a30,1151288,B Sai Sudharsan,Bhardwaj Sai Sudharsan,"October 15, 2001, Chennai",Left hand Bat,Legbreak, 
fb693839,317292,S Ladda,Sarabjit Ladda,"July 10, 1986, Patiala",Right hand Bat,Legbreak, 
b4f5c2d9,1070188,KL Nagarkoti,Kamlesh Lachham Nagarkoti,"December 28, 1999, Barmer, Rajasthan",Right hand Bat,Right arm Fast, 
119678fd,30288,KV Sharma,Karn Vinod Sharma,"October 23, 1987, Meerut, Uttar Pradesh",Left hand Bat,Legbreak Googly, 
93a17209,31732,VY Mahesh,Vijaykumar Yo Mahesh,"December 21, 1987, Madras (now Chennai), Tamil Nadu",Right hand Bat,Right arm Medium fast, 
dfc4d8b5,272262,KW Richardson,Kane William Richardson,"February 12, 1991, Eudunda, South Australia",Right hand Bat,Right arm Fast medium, 
33ffc3dd,1048841,R Sanjay Yadav,Ramsingh  Sanjay Yadav,"May 10, 1995, Gorakhpur, Uttar Pradesh",Left hand Bat,Slow Left arm Orthodox, 
063b3673,36071,DH Yagnik,Dishant Harendra Yagnik,"June 22, 1983, Banswara, Rajasthan",Left hand Bat, , 
0494fa6e,732293,Vishnu Vinod,Vishnu Vinod,"December 02, 1993,  Pathanamthitta, Kerala",Right hand Bat, ,Wicketkeeper
16043342,6553,AB McDonald,Andrew Barry McDonald,"June 05, 1981, Wodonga, Victoria",Right hand Bat,Right arm Fast medium, 
caf69bf7,826901,DR Sams,Daniel Richard Sams,"October 27, 1992, Milperra, New South Wales",Right hand Bat,Left arm Fast medium, 
c404f58a,6981,DP Nannes,Dirk Peter Nannes,"May 16, 1976, Mount Waverley, Melbourne, Victoria",Right hand Bat,Left arm Fast, 
5b040b81,26789,A Singh,Amit Singh,"June 21, 1981, Bidar, Karnataka",Right hand Bat,Right arm Medium fast, 
ded9240e,489889,PJ Cummins,Patrick James Cummins,"May 08, 1993, Westmead, Sydney",Right hand Bat,Right arm Fast, 
ba607b88,253802,V Kohli,Virat Kohli,"November 05, 1988, Delhi",Right hand Bat,Right arm Medium, 
eade4650,381743,DJ Mitchell,Daryl Joseph Mitchell,"May 20, 1991, Hamilton",Right hand Bat,Right arm Medium, 
dddca1d6,279552,SB Wagh,Shrikant Bhaskar Wagh,"October 09, 1988, Chikhli",Left hand Bat,Left arm Medium fast, 
b8d490fd,5334,AJ Finch,Aaron James Finch,"November 17, 1986, Colac, Victoria",Right hand Bat,Slow Left arm Orthodox, 
759ac88f,537119,MM Sharma,Mohit Mahipal Sharma,"September 18, 1988, Ballabhgarh, Haryana",Right hand Bat,Right arm Medium, 
ac5ae4af,328026,I Udana,Isuru Udana Tillakaratna,"February 17, 1988, Balangoda",Right hand Bat,Left arm Medium fast, 
a97c8ec2,784379,PWH de Silva,Pinnaduwage Wanindu Hasaranga de Silva,"July 29, 1997, Galle",Right hand Bat,Legbreak, 
6042bf26,7443,NJ Rimmington,Nathan John Rimmington,"November 11, 1982, Redcliffe, Queensland",Right hand Bat,Right arm Fast medium, 
4ba44e19,49636,M Muralitharan,Muthiah Muralidaran,"April 17, 1972, Kandy",Right hand Bat,Right arm Offbreak, 
eaa90ab4,28067,P Dharmani,Pankaj Dharmani,"September 27, 1974, Delhi",Right hand Bat, ,Wicketkeeper
0c2730df,30176,A Kumble,Anil Kumble,"October 17, 1970, Bangalore, Karnataka",Right hand Bat,Legbreak Googly, 
2cdce1be,1131754,C Sakariya,Chetan Sakariya,"February 28, 1998, Bhavnagar",Left hand Bat,Left arm Medium fast, 
e2db2409,528067,M Ashwin,Murugan Ashwin,"September 08, 1990, Chennai, Tamil Nadu",Right hand Bat,Legbreak Googly, 
5b8c830e,471342,KH Pandya,Krunal Himanshu Pandya,"March 24, 1991, Ahmedabad, Gujarat",Left hand Bat,Slow Left arm Orthodox, 
b410bd3d,960361,S Lamichhane,Sandeep Lamichhane,"August 02, 2000, Syangja",Right hand Bat,Legbreak Googly, 
2f3817ce,34139,TP Sudhindra,Taduri Prakash Chandra Sudhindra,"April 24, 1984, Hindupur, Andhra Pradesh",Left hand Bat,Right arm Fast, 
a45a5e8d,32091,AM Nayar,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",Left hand Bat,Right arm Medium, 
96fd40ae,31820,A Nehra,Ashish Nehra,"April 29, 1979, Delhi",Right hand Bat,Left arm Medium fast, 
9ab63e7b,41434,Mohammad Hafeez,Mohammad Hafeez,"October 17, 1980, Sargodha, Punjab",Right hand Bat,Right arm Offbreak, 
350bb1b1,450860,AF Milne,Adam Fraser Milne,"April 13, 1992, Palmerston North",Right hand Bat,Right arm Fast, 
3fca55af,228943,S Sohal,Sunny Sohal,"November 10, 1987, Mohali, Punjab, India",Right hand Bat,Legbreak, 
69762509,6513,DR Martyn,Damien Richard Martyn,"October 21, 1971, Darwin, Northern Territory",Right hand Bat,Right arm Medium, 
944533a5,398439,KK Nair,Karun Nair,"December 06, 1991, Jodhpur, Rajasthan",Right hand Bat,Right arm Offbreak, 
5afd4539,27280,MS Bisla,Manvinder Sultansingh Bisla,"December 27, 1984, Hisar, Haryana",Right hand Bat, ,Wicketkeeper
aa8d28ae,221140,D Wiese,David Wiese,"May 18, 1985, Roodepoort",Right hand Bat,Right arm Medium fast, 
b2ae53f5,49677,T Thushara,Magina Thilan Thushara Mirando,"March 01, 1981, Balapitiya",Left hand Bat,Left arm Fast medium, 
94253925,452044,GH Vihari,Gade Hanuma Vihari,"October 13, 1993, Kakinada, Andhra Pradesh",Right hand Bat,Right arm Offbreak, 
800d2d97,721867,JM Sharma,Jitesh Mohan Sharma,"October 22, 1993, Amrawati, Maharashtra",Right hand Bat, ,Wicketkeeper
3eac9d95,38062,JDP Oram,Jacob David Philip Oram,"July 28, 1978, Palmerston North, Manawatu",Left hand Bat,Right arm Fast medium, 
cad00a4d,318845,RR Rossouw,Rilee Roscoe Rossouw,"October 09, 1989, Bloemfontein, Orange Free State",Left hand Bat,Right arm Offbreak, 
00ea847a,398438,MA Agarwal,Mayank Anurag Agarwal,"February 16, 1991, Bangalore, Karnataka",Right hand Bat,Right arm Offbreak, 
f5f18a18,50438,S Randiv,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,"January 30, 1985, Matara",Right hand Bat,Right arm Offbreak, 
2e81a32d,326016,B Kumar,Bhuvneshwar Kumar Singh,"February 05, 1990, Meerut, Uttar Pradesh",Right hand Bat,Right arm Medium, 
8b5b6769,29264,Harbhajan Singh,Harbhajan Singh,"July 03, 1980, Jullundur (now Jalandhar), Punjab",Right hand Bat,Right arm Offbreak, 
f752db61,272465,JL Pattinson,James Lee Pattinson,"May 03, 1990, Melbourne, Victoria",Left hand Bat,Right arm Fast medium, 
b61a3e1a,38699,LRPL Taylor,Luteru Ross Poutoa Lote Taylor,"March 08, 1984, Lower Hutt, Wellington",Right hand Bat,Right arm Offbreak, 
f48cf4da,32389,DT Patil,Devraj Thyagaraj Patil,"December 06, 1984",Right hand Bat, ,Wicketkeeper
03806cf8,288284,JR Hazlewood,Josh Reginald Hazlewood,"January 08, 1991, Tamworth, New South Wales",Left hand Bat,Right arm Fast medium, 
0604ef16,27225,SB Bangar,Sanjay Bapusaheb Bangar,"October 11, 1972, Bid, Maharashtra",Right hand Bat,Right arm Medium fast, 
331ea488,215155,UT Khawaja,Usman Tariq Khawaja,"December 18, 1986, Islamabad, Pakistan",Left hand Bat,Right arm Medium, 
245c97cb,459257,TS Mills,Tymal Solomon Mills,"August 12, 1992, Dewsbury, Yorkshire",Right hand Bat,Left arm Fast, 
752f7486,720471,Ishan Kishan,Ishan Pranav Kumar Pandey Kishan,"July 18, 1998, Patna, Bihar",Left hand Bat, ,Wicketkeeper
f3cb53a1,44111,MV Boucher,Mark Verdon Boucher,"December 03, 1976, East London, Cape Province",Right hand Bat,Right arm Medium,Wicketkeeper
4b4d1957,327127,PM Sarvesh Kumar,PM Sarvesh Kumar,"April 26, 1989, Hyderabad, Andhra Pradesh",Right hand Bat,Right arm Medium, 
89f64c19,53116,LMP Simmons,Lendl Mark Platter Simmons,"January 25, 1985, Port of Spain, Trinidad",Right hand Bat,Right arm Medium fast,Occasional Wicketkeeper
25eeb281,35630,PC Valthaty,Paul Chandrashekar Valthaty,"December 07, 1983, Bombay (now Mumbai), Maharashtra",Right hand Bat,Right arm Medium, 
94bc776b,30719,D Kalyankrishna,Doddapaneni Kalyankrishna,"December 16, 1983, Vijayawada",Right hand Bat,Right arm Medium fast, 
c05edf8e,1168641,Harpreet Brar,Harpreet Brar,"September 16, 1995, Meerut, Uttar Pradesh",Left hand Bat,Slow Left arm Orthodox, 
64d43928,43265,Sohail Tanvir,Sohail Tanvir,"December 12, 1984, Rawalpindi, Punjab",Left hand Bat,Left arm Medium fast, 
9d430b40,230558,SP Narine,Sunil Philip Narine,"May 26, 1988, Arima, Trinidad & Tobago",Left hand Bat,Right arm Offbreak, 
de8cce37,30750,VVS Laxman,Vangipurappu Venkata Sai Laxman,"November 01, 1974, Hyderabad, Andhra Pradesh",Right hand Bat,Right arm Offbreak, 
a343262c,303669,JE Root,Joseph Edward Root,"December 30, 1990, Sheffield, Yorkshire",Right hand Bat,"Right arm Offbreak, Legbreak", 
6821ac10,47693,JJ van der Wath,Johannes Jacobus van der Wath,"January 10, 1978, Newcastle, Natal",Right hand Bat,Right arm Medium fast, 
8a668774,317709,Shoaib Ahmed,Syed Mohammad Shoaib Ahmed,"November 19, 1987, Hyderabad, Andhra Pradesh",Right hand Bat,Right arm Fast medium, 
1a0c3177,323131,P Awana,Parvinder Awana,"July 19, 1986, Delhi, India",Right hand Bat,Right arm Medium, 
f233bbb4,49209,ST Jayasuriya,Sanath Teran Jayasuriya,"June 30, 1969, Matara",Left hand Bat,Slow Left arm Orthodox, 
9a46c4e5,823509,GD Phillips,Glenn Dominic Phillips,"December 06, 1996, East London, Eastern Cape, South Africa",Right hand Bat,Right arm Offbreak,Wicketkeeper
0aadc906,34282,PR Shah,Pinal Rohitbhai Shah,"November 03, 1987, Baroda, Gujarat",Right hand Bat, ,Wicketkeeper
272d796e,388678,BR Dunk,Ben Robert Dunk,"March 11, 1987, Innisfail, Queensland",Left hand Bat,Right arm Offbreak,Wicketkeeper
73c18486,348056,KR Mayers,Kyle Rico Mayers,"September 08, 1992, Barbados",Left hand Bat,Right arm Medium, 
10a91f35,42655,Shoaib Akhtar,Shoaib Akhtar,"August 13, 1975, Rawalpindi, Punjab",Right hand Bat,Right arm Fast, 
a2f46292,942645,KK Ahmed,Khaleel Khursheed Ahmed,"December 05, 1997, Tonk, Rajasthan",Right hand Bat,Left arm Medium, 
24d94623,422992,Ankit Sharma,Ankit Nagendra Sharma,"April 20, 1991, Gwalior, Madhya Pradesh",Left hand Bat,Slow Left arm Orthodox, 
26d041c4,299572,Sikandar Raza,Sikandar Raza Butt,"April 24, 1986, Sialkot, Punjab, Pakistan",Right hand Bat,Right arm Offbreak, 
5056011d,4451,GJ Bailey,George John Bailey,"September 07, 1982, Launceston, Tasmania",Right hand Bat,Right arm Medium, 
a90e53ec,605575,MW Short,Matthew William Short,"November 08, 1995",Right hand Bat,Right arm Offbreak, 
7d3720ba,27150,RR Bhatkal,Raju Ravi Bhatkal,"September 01, 1985, Belgaum, Karnataka",Right hand Bat,Right arm Medium, 
919a3be2,931581,RR Pant,Rishabh Rajendra Pant,"October 04, 1997, Haridwar, Uttarakhand",Left hand Bat, ,Wicketkeeper
